network,method,variant,model_file,original_variables,retained_variables,state_dimension,retained_fraction,eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set
acute_myeloid_leukemia,original,original,results/models/acute_myeloid_leukemia/original.bnet,68,68,68,1.0,0.0,295147905179352825856,295147905179352825856,1.0,0,False,,,
acute_myeloid_leukemia,node_elimination,node_elimination,results/models/acute_myeloid_leukemia/node_elimination.bnet,68,1,1,0.014705882352941176,0.9852941176470589,2,295147905179352825856,6.776263578034403e-21,-67,True,,,
acute_myeloid_leukemia,two_step,two_step,results/models/acute_myeloid_leukemia/two_step.bnet,68,12,12,0.17647058823529413,0.8235294117647058,4096,295147905179352825856,1.3877787807814457e-17,-56,True,,,
acute_myeloid_leukemia,leaf_node_removal,leaf_node_removal,results/models/acute_myeloid_leukemia/leaf_node_removal.bnet,68,2,2,0.029411764705882353,0.9705882352941176,4,295147905179352825856,1.3552527156068805e-20,-66,True,,,
acute_myeloid_leukemia,dominant_vertices,dv_01,results/models/acute_myeloid_leukemia/dominant_vertices/dominant_vertices_01.bnet,68,18,18,0.2647058823529412,0.7352941176470589,262144,295147905179352825856,8.881784197001252e-16,-50,True,1,7,hsa_1436;hsa_1437;hsa_2209;hsa_2322;hsa_3562;hsa_3684;hsa_3815;hsa_4353;hsa_51176;hsa_5371;hsa_5914;hsa_6932;hsa_6934;hsa_83439;hsa_861;hsa_862;hsa_8864;hsa_929
basal_cell_carcinoma,original,original,results/models/basal_cell_carcinoma/original.bnet,63,63,63,1.0,0.0,9223372036854775808,9223372036854775808,1.0,0,False,,,
basal_cell_carcinoma,node_elimination,node_elimination,results/models/basal_cell_carcinoma/node_elimination.bnet,63,1,1,0.015873015873015872,0.9841269841269842,2,9223372036854775808,2.168404344971009e-19,-62,True,,,
basal_cell_carcinoma,two_step,two_step,results/models/basal_cell_carcinoma/two_step.bnet,63,44,44,0.6984126984126984,0.3015873015873016,17592186044416,9223372036854775808,1.9073486328125e-06,-19,True,,,
basal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/basal_cell_carcinoma/leaf_node_removal.bnet,63,3,3,0.047619047619047616,0.9523809523809523,8,9223372036854775808,8.673617379884035e-19,-60,True,,,
basal_cell_carcinoma,dominant_vertices,dv_01,results/models/basal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,63,19,19,0.30158730158730157,0.6984126984126984,524288,9223372036854775808,5.684341886080802e-14,-44,True,1,6,hsa_1026;hsa_10297;hsa_10912;hsa_1643;hsa_1647;hsa_2735;hsa_2736;hsa_2737;hsa_324;hsa_374654;hsa_4616;hsa_51426;hsa_578;hsa_581;hsa_6469;hsa_6608;hsa_7157;hsa_8312;hsa_8313
bladder_cancer,original,original,results/models/bladder_cancer/original.bnet,41,41,41,1.0,0.0,2199023255552,2199023255552,1.0,0,False,,,
bladder_cancer,node_elimination,node_elimination,results/models/bladder_cancer/node_elimination.bnet,41,0,0,0.0,1.0,1,2199023255552,4.547473508864641e-13,-41,True,,,
bladder_cancer,two_step,two_step,results/models/bladder_cancer/two_step.bnet,41,0,0,0.0,1.0,1,2199023255552,4.547473508864641e-13,-41,True,,,
bladder_cancer,leaf_node_removal,leaf_node_removal,results/models/bladder_cancer/leaf_node_removal.bnet,41,0,0,0.0,1.0,1,2199023255552,4.547473508864641e-13,-41,True,,,
bladder_cancer,dominant_vertices,dv_01,results/models/bladder_cancer/dominant_vertices/dominant_vertices_01.bnet,41,26,26,0.6341463414634146,0.36585365853658536,67108864,2199023255552,3.0517578125e-05,-15,True,1,5,hsa_1019;hsa_1026;hsa_1029;hsa_11186;hsa_1612;hsa_1613;hsa_1839;hsa_1869;hsa_1870;hsa_1871;hsa_1890;hsa_1950;hsa_2261;hsa_23604;hsa_3576;hsa_4193;hsa_4312;hsa_4313;hsa_4318;hsa_4609;hsa_595;hsa_6714;hsa_7057;hsa_7380;hsa_7422;hsa_999
chronic_myeloid_leukemia,original,original,results/models/chronic_myeloid_leukemia/original.bnet,77,77,77,1.0,0.0,151115727451828646838272,151115727451828646838272,1.0,0,False,,,
chronic_myeloid_leukemia,node_elimination,node_elimination,results/models/chronic_myeloid_leukemia/node_elimination.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,
chronic_myeloid_leukemia,two_step,two_step,results/models/chronic_myeloid_leukemia/two_step.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,
chronic_myeloid_leukemia,leaf_node_removal,leaf_node_removal,results/models/chronic_myeloid_leukemia/leaf_node_removal.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,
chronic_myeloid_leukemia,dominant_vertices,dv_01,results/models/chronic_myeloid_leukemia/dominant_vertices/dominant_vertices_01.bnet,77,21,21,0.2727272727272727,0.7272727272727273,2097152,151115727451828646838272,1.3877787807814457e-17,-56,True,1,9,hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_2122;hsa_25;hsa_4089;hsa_4616;hsa_4790;hsa_51426;hsa_578;hsa_581;hsa_5970;hsa_613;hsa_7040;hsa_7042;hsa_7043;hsa_861
colorectal_cancer,original,original,results/models/colorectal_cancer/original.bnet,87,87,87,1.0,0.0,154742504910672534362390528,154742504910672534362390528,1.0,0,False,,,
colorectal_cancer,node_elimination,node_elimination,results/models/colorectal_cancer/node_elimination.bnet,87,0,0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,True,,,
colorectal_cancer,two_step,two_step,results/models/colorectal_cancer/two_step.bnet,87,0,0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,True,,,
colorectal_cancer,leaf_node_removal,leaf_node_removal,results/models/colorectal_cancer/leaf_node_removal.bnet,87,0,0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,True,,,
colorectal_cancer,dominant_vertices,dv_01,results/models/colorectal_cancer/dominant_vertices/dominant_vertices_01.bnet,87,36,36,0.41379310344827586,0.5862068965517242,68719476736,154742504910672534362390528,4.440892098500626e-16,-51,True,1,9,hsa_10018;hsa_1026;hsa_10297;hsa_10912;hsa_1499;hsa_1643;hsa_1647;hsa_1950;hsa_2069;hsa_26060;hsa_27113;hsa_2956;hsa_324;hsa_374;hsa_4087;hsa_4088;hsa_4089;hsa_4292;hsa_4436;hsa_4437;hsa_4616;hsa_51426;hsa_5366;hsa_54205;hsa_578;hsa_581;hsa_7039;hsa_7040;hsa_7042;hsa_7043;hsa_7046;hsa_7048;hsa_7157;hsa_8312;hsa_8313;hsa_836
endometrial_cancer,original,original,results/models/endometrial_cancer/original.bnet,59,59,59,1.0,0.0,576460752303423488,576460752303423488,1.0,0,False,,,
endometrial_cancer,node_elimination,node_elimination,results/models/endometrial_cancer/node_elimination.bnet,59,0,0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,True,,,
endometrial_cancer,two_step,two_step,results/models/endometrial_cancer/two_step.bnet,59,0,0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,True,,,
endometrial_cancer,leaf_node_removal,leaf_node_removal,results/models/endometrial_cancer/leaf_node_removal.bnet,59,0,0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,True,,,
endometrial_cancer,dominant_vertices,dv_01,results/models/endometrial_cancer/dominant_vertices/dominant_vertices_01.bnet,59,23,23,0.3898305084745763,0.6101694915254237,8388608,576460752303423488,1.4551915228366852e-11,-36,True,1,8,hsa_1026;hsa_10297;hsa_10912;hsa_1495;hsa_1496;hsa_1499;hsa_1643;hsa_1647;hsa_1950;hsa_2064;hsa_29119;hsa_2932;hsa_324;hsa_4292;hsa_4616;hsa_51426;hsa_5728;hsa_578;hsa_581;hsa_7157;hsa_8312;hsa_8313;hsa_999
glioma,original,original,results/models/glioma/original.bnet,76,76,76,1.0,0.0,75557863725914323419136,75557863725914323419136,1.0,0,False,,,
glioma,node_elimination,node_elimination,results/models/glioma/node_elimination.bnet,76,0,0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,True,,,
glioma,two_step,two_step,results/models/glioma/two_step.bnet,76,0,0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,True,,,
glioma,leaf_node_removal,leaf_node_removal,results/models/glioma/leaf_node_removal.bnet,76,0,0,0.0,1.0,1,75557863725914323419136,1.3234889800848443e-23,-76,True,,,
glioma,dominant_vertices,dv_01,results/models/glioma/dominant_vertices/dominant_vertices_01.bnet,76,31,31,0.40789473684210525,0.5921052631578947,2147483648,75557863725914323419136,2.842170943040401e-14,-45,True,1,8,hsa_10000;hsa_1029;hsa_10912;hsa_163688;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_207;hsa_208;hsa_3479;hsa_4193;hsa_4616;hsa_51426;hsa_5154;hsa_5155;hsa_51806;hsa_5578;hsa_5579;hsa_5582;hsa_5728;hsa_578;hsa_581;hsa_7039;hsa_801;hsa_805;hsa_808;hsa_810;hsa_91860
melanoma,original,original,results/models/melanoma/original.bnet,73,73,73,1.0,0.0,9444732965739290427392,9444732965739290427392,1.0,0,False,,,
melanoma,node_elimination,node_elimination,results/models/melanoma/node_elimination.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,
melanoma,two_step,two_step,results/models/melanoma/two_step.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,
melanoma,leaf_node_removal,leaf_node_removal,results/models/melanoma/leaf_node_removal.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,
melanoma,dominant_vertices,dv_01,results/models/melanoma/dominant_vertices/dominant_vertices_01.bnet,73,40,40,0.547945205479452,0.452054794520548,1099511627776,9444732965739290427392,1.1641532182693481e-10,-33,True,1,7,hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_1950;hsa_2246;hsa_2247;hsa_2248;hsa_2249;hsa_2250;hsa_2251;hsa_2252;hsa_2253;hsa_2254;hsa_2255;hsa_26281;hsa_26291;hsa_27006;hsa_3082;hsa_3479;hsa_4193;hsa_4286;hsa_4616;hsa_51426;hsa_5154;hsa_5155;hsa_56034;hsa_5728;hsa_578;hsa_581;hsa_80310;hsa_8074;hsa_8817;hsa_8822;hsa_8823;hsa_9965;hsa_999
non_small_cell_lung_cancer,original,original,results/models/non_small_cell_lung_cancer/original.bnet,73,73,73,1.0,0.0,9444732965739290427392,9444732965739290427392,1.0,0,False,,,
non_small_cell_lung_cancer,node_elimination,node_elimination,results/models/non_small_cell_lung_cancer/node_elimination.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,
non_small_cell_lung_cancer,two_step,two_step,results/models/non_small_cell_lung_cancer/two_step.bnet,73,0,0,0.0,1.0,1,9444732965739290427392,1.0587911840678754e-22,-73,True,,,
