network,method,variant,analysis_type,attractor_id,attractor_signature,period,basin_count_or_sample_count,basin_fraction,basin_fraction_ci95_low,basin_fraction_ci95_high
glioma,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
melanoma,original,original,monte_carlo,A001,0292c53f0bac0b80,1,10000,1.0,0.9996159875222334,0.9999999999999999
melanoma,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
melanoma,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
melanoma,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
melanoma,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
non_small_cell_lung_cancer,original,original,monte_carlo,A001,7688b6ef52555962,1,10000,1.0,0.9996159875222334,0.9999999999999999
non_small_cell_lung_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
non_small_cell_lung_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
non_small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
non_small_cell_lung_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
pancreatic_cancer,original,original,monte_carlo,A001,082cc43b845f7cac,1,10000,1.0,0.9996159875222334,0.9999999999999999
pancreatic_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
pancreatic_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
pancreatic_cancer,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
pancreatic_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
prostate_cancer,original,original,monte_carlo,A001,d6ef472081e7999f,1,10000,1.0,0.9996159875222334,0.9999999999999999
prostate_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,0.5,0.5,0.5
prostate_cancer,node_elimination,node_elimination,exact,A002,6b86b273ff34fce1,1,1,0.5,0.5,0.5
prostate_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,2,0.5,0.5,0.5
prostate_cancer,two_step,two_step,exact,A002,4e07408562bedb8b,1,2,0.5,0.5,0.5
prostate_cancer,leaf_node_removal,leaf_node_removal,monte_carlo,A001,6b86b273ff34fce1,1,10000,1.0,0.9996159875222334,0.9999999999999999
prostate_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,5012,0.5012,0.4914014492346324,0.510997629135421
prostate_cancer,dominant_vertices,dv_01,monte_carlo,A002,9c3e3e92d4ad0b30,1,4988,0.4988,0.48900237086457904,0.5085985507653676
renal_cell_carcinoma,original,original,monte_carlo,A001,d1ae1df6c1da029f,1,10000,1.0,0.9996159875222334,0.9999999999999999
renal_cell_carcinoma,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
renal_cell_carcinoma,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
renal_cell_carcinoma,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
renal_cell_carcinoma,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
small_cell_lung_cancer,original,original,monte_carlo,A001,8d87f2379f04853f,1,10000,1.0,0.9996159875222334,0.9999999999999999
small_cell_lung_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
small_cell_lung_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
small_cell_lung_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
thyroid_cancer,original,original,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
thyroid_cancer,node_elimination,node_elimination,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
thyroid_cancer,two_step,two_step,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
thyroid_cancer,leaf_node_removal,leaf_node_removal,exact,A001,5feceb66ffc86f38,1,1,1.0,1.0,1.0
thyroid_cancer,dominant_vertices,dv_01,monte_carlo,A001,5feceb66ffc86f38,1,10000,1.0,0.9996159875222334,0.9999999999999999
