network,method,variant,model_file,original_variables,original_fixed_variables,original_free_variables,retained_variables,state_dimension,fixed_variables,free_variables,retained_fraction,eliminated_fraction,free_retained_fraction,free_eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_size,original_effective_state_space_size,effective_state_space_ratio,log2_effective_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,serialized_dimension,initial_states_analyzed,serialized_state_space_size,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
colorectal_cancer,original,original,results/models/colorectal_cancer/original.bnet,87,36,51,87,87,36,51,1.0,0.0,1.0,0.0,154742504910672534362390528,154742504910672534362390528,1.0,0,2251799813685248,2251799813685248,1.0,0,False,,,,1,0.021769062999737798,mpbn_exact,True,monte_carlo,False,87,10000,154742504910672534362390528,4.440892098500626e-12,1,1,0,1,8.1789,9,0.6041750260001209,10000,3138393761593342988,
colorectal_cancer,node_elimination,node_elimination,results/models/colorectal_cancer/node_elimination.bnet,87,36,51,0,0,0,0,0.0,1.0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,1,2251799813685248,4.440892098500626e-16,-51,True,,,,1,0.004521447000115586,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.4087000636209268e-05,,,
colorectal_cancer,two_step,two_step,results/models/colorectal_cancer/two_step.bnet,87,36,51,0,0,0,0,0.0,1.0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,1,2251799813685248,4.440892098500626e-16,-51,True,,,,1,0.004140238000218233,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.4702999578730669e-05,,,
colorectal_cancer,leaf_node_removal,leaf_node_removal,results/models/colorectal_cancer/leaf_node_removal.bnet,87,36,51,0,0,0,0,0.0,1.0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,1,2251799813685248,4.440892098500626e-16,-51,True,,,,1,0.006477285000073607,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.4729999747942202e-05,,,
colorectal_cancer,dominant_vertices,dv_01,results/models/colorectal_cancer/dominant_vertices/dominant_vertices_01.bnet,87,36,51,36,36,36,0,0.41379310344827586,0.5862068965517242,0.0,1.0,68719476736,154742504910672534362390528,4.440892098500626e-16,-51,1,2251799813685248,4.440892098500626e-16,-51,True,1,9,hsa_10018;hsa_1026;hsa_10297;hsa_10912;hsa_1499;hsa_1643;hsa_1647;hsa_1950;hsa_2069;hsa_26060;hsa_27113;hsa_2956;hsa_324;hsa_374;hsa_4087;hsa_4088;hsa_4089;hsa_4292;hsa_4436;hsa_4437;hsa_4616;hsa_51426;hsa_5366;hsa_54205;hsa_578;hsa_581;hsa_7039;hsa_7040;hsa_7042;hsa_7043;hsa_7046;hsa_7048;hsa_7157;hsa_8312;hsa_8313;hsa_836,1,,theoretical_preservation,True,exact,True,36,1,68719476736,1.0,1,1,0,1,0.0,0,3.594499958126107e-05,,,
endometrial_cancer,original,original,results/models/endometrial_cancer/original.bnet,59,23,36,59,59,23,36,1.0,0.0,1.0,0.0,576460752303423488,576460752303423488,1.0,0,68719476736,68719476736,1.0,0,False,,,,1,0.016289799999867682,mpbn_exact,True,monte_carlo,False,59,10000,576460752303423488,1.4551915228366852e-07,1,1,0,1,7.1703,8,0.22199389200068254,10000,8660806899490889664,
endometrial_cancer,node_elimination,node_elimination,results/models/endometrial_cancer/node_elimination.bnet,59,23,36,0,0,0,0,0.0,1.0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,1,68719476736,1.4551915228366852e-11,-36,True,,,,1,0.0029067070008750306,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.127500036091078e-05,,,
endometrial_cancer,two_step,two_step,results/models/endometrial_cancer/two_step.bnet,59,23,36,0,0,0,0,0.0,1.0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,1,68719476736,1.4551915228366852e-11,-36,True,,,,1,0.002846396000677487,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1158000233990606e-05,,,
endometrial_cancer,leaf_node_removal,leaf_node_removal,results/models/endometrial_cancer/leaf_node_removal.bnet,59,23,36,0,0,0,0,0.0,1.0,0.0,1.0,1,576460752303423488,1.734723475976807e-18,-59,1,68719476736,1.4551915228366852e-11,-36,True,,,,1,0.0026413360001242836,mpbn_exact,True,exact,True,0,1,1,1.0,1,1,0,1,0.0,0,1.1254000128246844e-05,,,
endometrial_cancer,dominant_vertices,dv_01,results/models/endometrial_cancer/dominant_vertices/dominant_vertices_01.bnet,59,23,36,23,23,23,0,0.3898305084745763,0.6101694915254237,0.0,1.0,8388608,576460752303423488,1.4551915228366852e-11,-36,1,68719476736,1.4551915228366852e-11,-36,True,1,8,hsa_1026;hsa_10297;hsa_10912;hsa_1495;hsa_1496;hsa_1499;hsa_1643;hsa_1647;hsa_1950;hsa_2064;hsa_29119;hsa_2932;hsa_324;hsa_4292;hsa_4616;hsa_51426;hsa_5728;hsa_578;hsa_581;hsa_7157;hsa_8312;hsa_8313;hsa_999,1,,theoretical_preservation,True,exact,True,23,1,8388608,1.0,1,1,0,1,0.0,0,2.065599983325228e-05,,,
