network,method,variant,model_file,state_dimension,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match
pancreatic_cancer,node_elimination,node_elimination,results/models/pancreatic_cancer/node_elimination.bnet,0,1,0.0030076519997237483,mpbn_exact,True
pancreatic_cancer,two_step,two_step,results/models/pancreatic_cancer/two_step.bnet,0,1,0.002737824999712757,mpbn_exact,True
pancreatic_cancer,leaf_node_removal,leaf_node_removal,results/models/pancreatic_cancer/leaf_node_removal.bnet,0,1,0.0024943849998635415,mpbn_exact,True
pancreatic_cancer,dominant_vertices,dv_01,results/models/pancreatic_cancer/dominant_vertices/dominant_vertices_01.bnet,30,1,,theoretical_preservation,True
prostate_cancer,original,original,results/models/prostate_cancer/original.bnet,106,2,0.02092681000021912,mpbn_exact,True
prostate_cancer,node_elimination,node_elimination,results/models/prostate_cancer/node_elimination.bnet,1,2,0.005445617000077618,mpbn_exact,True
prostate_cancer,two_step,two_step,results/models/prostate_cancer/two_step.bnet,2,2,0.005010394000237284,mpbn_exact,True
prostate_cancer,leaf_node_removal,leaf_node_removal,results/models/prostate_cancer/leaf_node_removal.bnet,33,2,0.009543549999762035,mpbn_exact,True
prostate_cancer,dominant_vertices,dv_01,results/models/prostate_cancer/dominant_vertices/dominant_vertices_01.bnet,42,2,,theoretical_preservation,True
renal_cell_carcinoma,original,original,results/models/renal_cell_carcinoma/original.bnet,70,1,0.011019610999937868,mpbn_exact,True
renal_cell_carcinoma,node_elimination,node_elimination,results/models/renal_cell_carcinoma/node_elimination.bnet,0,1,0.0031593630001225392,mpbn_exact,True
renal_cell_carcinoma,two_step,two_step,results/models/renal_cell_carcinoma/two_step.bnet,0,1,0.002641018999838707,mpbn_exact,True
renal_cell_carcinoma,leaf_node_removal,leaf_node_removal,results/models/renal_cell_carcinoma/leaf_node_removal.bnet,0,1,0.0029449079997903027,mpbn_exact,True
renal_cell_carcinoma,dominant_vertices,dv_01,results/models/renal_cell_carcinoma/dominant_vertices/dominant_vertices_01.bnet,26,1,,theoretical_preservation,True
small_cell_lung_cancer,original,original,results/models/small_cell_lung_cancer/original.bnet,93,1,0.028343521999886434,mpbn_exact,True
small_cell_lung_cancer,node_elimination,node_elimination,results/models/small_cell_lung_cancer/node_elimination.bnet,0,1,0.0030845940000290284,mpbn_exact,True
small_cell_lung_cancer,two_step,two_step,results/models/small_cell_lung_cancer/two_step.bnet,0,1,0.002748654000242823,mpbn_exact,True
small_cell_lung_cancer,leaf_node_removal,leaf_node_removal,results/models/small_cell_lung_cancer/leaf_node_removal.bnet,0,1,0.002631565000228875,mpbn_exact,True
small_cell_lung_cancer,dominant_vertices,dv_01,results/models/small_cell_lung_cancer/dominant_vertices/dominant_vertices_01.bnet,45,1,,theoretical_preservation,True
thyroid_cancer,original,original,results/models/thyroid_cancer/original.bnet,37,1,0.007385598000382743,mpbn_exact,True
thyroid_cancer,node_elimination,node_elimination,results/models/thyroid_cancer/node_elimination.bnet,0,1,0.003278230999967491,mpbn_exact,True
thyroid_cancer,two_step,two_step,results/models/thyroid_cancer/two_step.bnet,0,1,0.002627007999763009,mpbn_exact,True
thyroid_cancer,leaf_node_removal,leaf_node_removal,results/models/thyroid_cancer/leaf_node_removal.bnet,0,1,0.0024392129998886958,mpbn_exact,True
thyroid_cancer,dominant_vertices,dv_01,results/models/thyroid_cancer/dominant_vertices/dominant_vertices_01.bnet,23,1,,theoretical_preservation,True
