network,method,variant,model_file,original_variables,retained_variables,state_dimension,retained_fraction,eliminated_fraction,state_space_size,original_state_space_size,state_space_ratio,log2_state_space_ratio,effective_state_space_reduction,recurrence_length,depth,dominant_set,fixed_points,fixed_point_time_seconds,fixed_point_source,fixed_point_count_match,analysis_type,attractor_count_is_complete,initial_states_analyzed,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
chronic_myeloid_leukemia,original,original,results/models/chronic_myeloid_leukemia/original.bnet,77,77,77,1.0,0.0,151115727451828646838272,151115727451828646838272,1.0,0,False,,,,1,0.01890214700006254,mpbn_exact,True,monte_carlo,False,10000,6.617444900424221e-20,1,1,0,1,9.6037,10,0.38202168599991637,10000,13677695992417225805,
chronic_myeloid_leukemia,node_elimination,node_elimination,results/models/chronic_myeloid_leukemia/node_elimination.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,,1,0.0031252230000973213,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.053000005413196e-05,,,
chronic_myeloid_leukemia,two_step,two_step,results/models/chronic_myeloid_leukemia/two_step.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,,1,0.002754402999926242,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.1781000011978904e-05,,,
chronic_myeloid_leukemia,leaf_node_removal,leaf_node_removal,results/models/chronic_myeloid_leukemia/leaf_node_removal.bnet,77,0,0,0.0,1.0,1,151115727451828646838272,6.617444900424222e-24,-77,True,,,,1,0.0028714719996969507,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.0395000117568998e-05,,,
chronic_myeloid_leukemia,dominant_vertices,dv_01,results/models/chronic_myeloid_leukemia/dominant_vertices/dominant_vertices_01.bnet,77,21,21,0.2727272727272727,0.7272727272727273,2097152,151115727451828646838272,1.3877787807814457e-17,-56,True,1,9,hsa_1029;hsa_10912;hsa_1643;hsa_1647;hsa_1869;hsa_1870;hsa_1871;hsa_2122;hsa_25;hsa_4089;hsa_4616;hsa_4790;hsa_51426;hsa_578;hsa_581;hsa_5970;hsa_613;hsa_7040;hsa_7042;hsa_7043;hsa_861,1,,theoretical_preservation,True,monte_carlo,False,10000,0.00476837158203125,1,1,0,1,1.0,1,0.05128876400021909,10000,18077245206883331561,
colorectal_cancer,original,original,results/models/colorectal_cancer/original.bnet,87,87,87,1.0,0.0,154742504910672534362390528,154742504910672534362390528,1.0,0,False,,,,1,0.013911866999933409,mpbn_exact,True,monte_carlo,False,10000,6.462348535570529e-23,1,1,0,1,9.884,10,0.408355469000071,10000,3138393761593342988,
colorectal_cancer,node_elimination,node_elimination,results/models/colorectal_cancer/node_elimination.bnet,87,0,0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,True,,,,1,0.0039062360001480556,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.0479999673407292e-05,,,
colorectal_cancer,two_step,two_step,results/models/colorectal_cancer/two_step.bnet,87,0,0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,True,,,,1,0.003133385000182898,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.247000000148546e-05,,,
colorectal_cancer,leaf_node_removal,leaf_node_removal,results/models/colorectal_cancer/leaf_node_removal.bnet,87,0,0,0.0,1.0,1,154742504910672534362390528,6.462348535570529e-27,-87,True,,,,1,0.002770544000213704,mpbn_exact,True,exact,True,1,1.0,1,1,0,1,0.0,0,1.2148000223533018e-05,,,
colorectal_cancer,dominant_vertices,dv_01,results/models/colorectal_cancer/dominant_vertices/dominant_vertices_01.bnet,87,36,36,0.41379310344827586,0.5862068965517242,68719476736,154742504910672534362390528,4.440892098500626e-16,-51,True,1,9,hsa_10018;hsa_1026;hsa_10297;hsa_10912;hsa_1499;hsa_1643;hsa_1647;hsa_1950;hsa_2069;hsa_26060;hsa_27113;hsa_2956;hsa_324;hsa_374;hsa_4087;hsa_4088;hsa_4089;hsa_4292;hsa_4436;hsa_4437;hsa_4616;hsa_51426;hsa_5366;hsa_54205;hsa_578;hsa_581;hsa_7039;hsa_7040;hsa_7042;hsa_7043;hsa_7046;hsa_7048;hsa_7157;hsa_8312;hsa_8313;hsa_836,1,,theoretical_preservation,True,monte_carlo,False,10000,1.4551915228366852e-07,1,1,0,1,1.0,1,0.07952139099961641,10000,2957814490558886286,
