network,method,variant,model_file,state_dimension,analysis_type,attractor_count_is_complete,serialized_dimension,fixed_variables,free_variables,initial_states_analyzed,state_space_size,serialized_state_space_size,effective_state_space_size,coverage_fraction,attractors_observed,fixed_attractors_observed,periodic_attractors_observed,attractor_periods,mean_transient_length,max_transient_length,dynamic_analysis_time_seconds,monte_carlo_samples_requested,random_seed,total_attractor_count_match
colorectal_cancer,leaf_node_removal,leaf_node_removal,results/models/colorectal_cancer/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.4729999747942202e-05,,,
colorectal_cancer,dominant_vertices,dv_01,results/models/colorectal_cancer/dominant_vertices/dominant_vertices_01.bnet,36,exact,True,36,36,0,1,1,68719476736,1,1.0,1,1,0,1,0.0,0,3.594499958126107e-05,,,
endometrial_cancer,original,original,results/models/endometrial_cancer/original.bnet,59,monte_carlo,False,59,23,36,10000,68719476736,576460752303423488,68719476736,1.4551915228366852e-07,1,1,0,1,7.1703,8,0.22199389200068254,10000,8660806899490889664,
endometrial_cancer,node_elimination,node_elimination,results/models/endometrial_cancer/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.127500036091078e-05,,,
endometrial_cancer,two_step,two_step,results/models/endometrial_cancer/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1158000233990606e-05,,,
endometrial_cancer,leaf_node_removal,leaf_node_removal,results/models/endometrial_cancer/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1254000128246844e-05,,,
endometrial_cancer,dominant_vertices,dv_01,results/models/endometrial_cancer/dominant_vertices/dominant_vertices_01.bnet,23,exact,True,23,23,0,1,1,8388608,1,1.0,1,1,0,1,0.0,0,2.065599983325228e-05,,,
glioma,original,original,results/models/glioma/original.bnet,76,monte_carlo,False,76,31,45,10000,35184372088832,75557863725914323419136,35184372088832,2.842170943040401e-10,1,1,0,1,7.9308,8,0.2369786400004159,10000,17395579645680446408,
glioma,node_elimination,node_elimination,results/models/glioma/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.2023000635963399e-05,,,
glioma,two_step,two_step,results/models/glioma/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1830000403278973e-05,,,
glioma,leaf_node_removal,leaf_node_removal,results/models/glioma/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1969999832217582e-05,,,
glioma,dominant_vertices,dv_01,results/models/glioma/dominant_vertices/dominant_vertices_01.bnet,31,exact,True,31,31,0,1,1,2147483648,1,1.0,1,1,0,1,0.0,0,2.2586999875784386e-05,,,
melanoma,original,original,results/models/melanoma/original.bnet,73,monte_carlo,False,73,40,33,10000,8589934592,9444732965739290427392,8589934592,1.1641532182693481e-06,1,1,0,1,4.9854,5,0.20861658600006194,10000,16178760310373070879,
melanoma,node_elimination,node_elimination,results/models/melanoma/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1299000107101165e-05,,,
melanoma,two_step,two_step,results/models/melanoma/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1101000382041093e-05,,,
melanoma,leaf_node_removal,leaf_node_removal,results/models/melanoma/leaf_node_removal.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1530000847415067e-05,,,
melanoma,dominant_vertices,dv_01,results/models/melanoma/dominant_vertices/dominant_vertices_01.bnet,40,exact,True,40,40,0,1,1,1099511627776,1,1.0,1,1,0,1,0.0,0,2.5486999220447615e-05,,,
non_small_cell_lung_cancer,original,original,results/models/non_small_cell_lung_cancer/original.bnet,73,monte_carlo,False,73,35,38,10000,274877906944,9444732965739290427392,274877906944,3.637978807091713e-08,1,1,0,1,8.8008,9,0.2005244539996056,10000,13013847623370177443,
non_small_cell_lung_cancer,node_elimination,node_elimination,results/models/non_small_cell_lung_cancer/node_elimination.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.443699966330314e-05,,,
non_small_cell_lung_cancer,two_step,two_step,results/models/non_small_cell_lung_cancer/two_step.bnet,0,exact,True,0,0,0,1,1,1,1,1.0,1,1,0,1,0.0,0,1.1201999768672977e-05,,,
